RegionID,SizeRank,RegionName,RegionType,StateName,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022
394307,320,"Albany, OR",msa,OR,171500,169667,167658,172792,167125,164300,156333,156750,159250,158750,165000,161951,166101,162251,163800,161817,159950,161867,158867,157417,158833,151800,145717,138867,148400,156817,157783,166449,164690,168907,159707,155933,162083,158100,159967,149833,148150,144817,142883,143250,138750,138402,136068,146068,149000,152500,145500,140500,141000,147943,151102,155402,154458,156800,160400,155900,147942,138625,139375,144333,144917,148500,150667,156467,161300,162800,161833,155167,153300,148467,150967,153750,155725,156625,160842,167700,171133,169333,166333,163167,164333,157817,158483,156967,166800,170967,176800,178729,182279,184962,186950,184883,175550,176650,170000,172333,173967,182967,191833,193850,196183,198650,203183,205017,197183,194000,193500,205000,208167,213167,213833,222667,224967,225967,218383,223417,224417,230000,233333,238833,241500,239800,241617,245600,248967,251483,253067,249733,246567,242633,249633,251300,257000,253333,256667,261817,265817,267483,264000,268333,269500,271167,272083,274917,280717,279800,283133,287333,300167,302833,306167,300833,302167,300833,305550,317550,324800,329158,336642,344058,353650,356167,358450,358950,356450,354167,360833,368333,374833,382508,389175,396008,394167,389167,384167
394890,321,"Mount Vernon, WA",msa,WA,261783,262803,258590,266910,263290,258123,249393,238150,250077,258437,264363,253963,238620,232240,232847,241180,237884,242584,238577,238420,218420,219420,221593,230020,233953,240447,245080,235913,237997,231365,230032,222115,226497,227247,225080,226650,220140,219640,214853,222280,224447,228947,228113,223779,214999,199165,184499,177847,195763,206305,212155,205872,210903,214034,214400,210327,203447,195280,192780,198113,207030,213697,213022,220106,220939,223446,218851,220138,223307,223400,214900,213733,213725,220105,220938,215604,220177,217651,226067,218733,222833,231000,235333,240000,237167,241496,243146,247980,252650,256000,253667,257667,257667,251750,243750,244250,251500,266500,269333,274000,276500,278167,279167,271333,270633,276125,276292,285308,286317,295817,294250,297748,295082,301915,303583,306733,297150,301800,307233,317803,316486,321236,322333,329000,325667,334992,329158,336842,329167,330833,322650,327000,340833,356333,364667,363000,362083,355749,354583,353667,354167,350833,355150,357650,367483,376650,388283,396617,402300,412333,414000,416667,413333,416667,424833,440500,452833,461333,474000,490000,493333,491667,495000,499167,500833,506942,503275,510442,531000,551500,563500,540167,529167,525000,518333
394821,322,"Manhattan, KS",msa,KS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180467,169967,170333,153000,162000,151417,162050,167683,168233,169850,171550,171250,162750,152862,159946,161529,156750,148333,155333,169500,174083,173383,165883,168133,164667,161333,158000,163383,170717,169883,165142,167442,176075,178767,175767,168633,176467,176467,171933,163233,162767,167633,179833,185483,194983,185900,175750,164750,163300,176633,182633,181304,172191,172191,175220,183167,184533,179200,168667,167950,182450,185613,186779,177613,178317,173792,172108,172275,170233,165417,166667,165383,170033,164783,181067,180567,188150,170067,172250,171300,173013,171513,178179,186633,194967,180733,183400,171283,180216,171883,180633,182467,194133,194133,188941,179591,179624,180767,187450,178783,184000,185667,199333,198333,206667,211667,210500,199250,195750,203250,203500,200667,187333,199333,204000,216000,213333,208333,216667,216167
394810,323,"Lumberton, NC",msa,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76983,75983,80167,80667,80000,72333,78917,86583,94250,99583,90917,90417,83417,88583,85583,87333,99500,101333,102955,93289,104622,104167,101500,93083,88250,87583,84667,84167,85083,86750,87583,93667,97833,107667,118333,111583,116583,95667,94917,90750,89000,94667,102333,113167,117500,111500,121667,117500,116833,107500,115667,123317,131650,128317,120667,124417,127083,139417,132167,138500,126167,133000,133333,136667,131167,123667,135500,141333,153333,142500
394390,324,"Bismarck, ND",msa,ND,147333,146633,142600,146600,145454,152070,157737,166317,162467,155913,156247,158097,162800,159625,163375,160542,157617,152950,152083,149617,148283,150150,157617,159283,162578,162445,165978,168367,166691,167991,163325,161893,154560,157376,163650,167483,162667,158500,163817,171300,168950,163933,154783,159300,155167,157800,161800,166567,165767,164100,175167,189000,184000,181333,174333,181333,184000,187833,197667,199333,199500,195650,192983,207133,215783,220950,218550,216250,220250,211150,214956,215123,212139,209000,212300,227300,230633,227333,228300,227300,226950,228650,229650,235000,230000,230000,238333,250667,256000,248333,239467,237933,232233,224430,225630,232313,238118,243101,246418,252767,242783,243483,247300,255600,257567,254233,252600,249967,252083,253733,257067,254950,256300,253800,252167,249167,239500,246500,240505,249638,250972,265633,272833,271167,268500,262667,257633,245633,237217,248850,254817,267150,262183,268700,266450,272483,275982,275982,267982,264250,265750,268567,271650,268217,263067,260367,271800,282300,290600,289433,286250,282817,280150,284833,275000,275967,273467,284625,285908,294075,301250,301667,296667,292283,296950,294433,294983,294150,303333,313800,320633,314783,313567,309567,318750
394727,325,"Johnstown, PA",msa,PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52150,67983,84167,91983,93246,105746,91629,83700,68367,69750,78249,84916,86499,86333,79750,75833,70167,68417,71900,74233,77900,72000,67967,69167,77467,84833,83267,78550,73550,70250,72167,77738,84238,86572,80500,77434,79567,83900,88800,87833,87167,76500,73050,67500,66500,68908,72292,76375,76367,82033,85250,85300,83633,78983,78317,76650,82317,84983,83650,83667,82000,87667,86000,86750,85750,85750,85833,83317,83983,86483,87150,84633,84300,85483,91333,92250,87750,87050,89800,89133,92500,87500,,119900,117633,95650,99400,101667,94333
395098,326,"Sierra Vista, AZ",msa,AZ,171500,168167,163500,169083,175417,173417,164442,153108,144775,147000,144500,158833,161500,170750,175250,175483,181567,179400,182833,173250,166583,159917,154967,153467,151800,155500,158167,158167,164483,166650,161650,150000,142667,144667,147542,140542,140208,144000,148250,156567,160900,155650,144000,139000,148000,144667,135317,124983,119317,127000,137000,154083,147750,142717,134217,141217,137233,133983,123650,124083,134417,135050,139550,129717,134750,128000,124467,121800,120800,123767,119733,125233,133883,141000,137333,128308,124558,128224,129000,123667,123333,123583,127750,130933,129183,132350,129167,129667,132742,130558,138158,138250,143933,137667,136333,134000,133667,130833,130963,141338,151671,149708,140333,135917,139917,142583,138983,132317,139983,143000,144667,139000,140650,143233,144233,150083,149817,149483,142388,144154,149021,150083,157833,159633,165833,167333,163000,161817,160150,164483,160000,158667,159000,169500,176500,182000,177317,176817,169650,173467,172133,175450,171317,174150,178833,186333,186333,188000,191083,195733,201400,205650,201000,194000,187633,190967,195967,201833,210167,221833,223350,221683,218350,223333,231667,234167,238197,242463,248297,249783,250517,250517,251667,254667,251333
394780,327,"Lawton, OK",msa,OK,92333,92833,90333,94250,93750,96750,94917,94083,87417,88583,87167,95833,92750,95500,90500,92000,94583,94250,98250,98333,103000,98417,102583,100083,96333,91500,90750,90333,93000,95333,104417,102917,112250,112250,105667,92917,86083,95000,103333,111833,121667,116500,107500,98000,96833,99500,94000,97417,103417,106167,110083,117417,119500,113833,103500,101917,109917,111000,113000,106917,104833,108250,111000,126000,134333,135000,119300,109967,108300,110667,103333,102983,103983,116650,123833,128800,125133,120783,123717,128217,126733,112583,104067,96900,102817,100750,107917,109083,114841,115008,112924,104917,108383,106216,104883,102917,109000,121000,128833,133000,129667,121833,117833,115650,113983,110317,110833,114750,118917,122217,123300,124550,126083,121083,131833,133167,127167,109667,108500,114833,117000,124917,132917,139917,141667,134417,133917,128083,132333,136667,134417,136417,128417,131500,138833,143000,147417,143750,145167,136667,135667,133917,145667,139583,137917,133917,142667,154000,152333,154400,153233,150733,141667,131333,135500,136500,138300,138633,141967,149167,148833,150833,149417,149717,144383,141967,136667,140833,139167,145167,151667,167333,163417,161750,153083
394719,328,"Jamestown, NY",msa,NY,64737,68737,78323,81253,79695,75608,73458,72517,70183,67333,67250,64775,69775,72483,75792,75792,72167,72000,72063,70563,74897,73117,73617,70617,72333,71000,71667,75000,78400,83400,82900,84083,80067,77233,74650,73667,75300,75217,74300,70633,71050,73633,78633,80233,81067,72100,72112,71945,74945,73940,72923,78155,82049,79065,80167,75000,74400,71067,72483,76417,78083,78642,81975,83642,83333,79667,81792,82292,81875,74750,71157,70073,75073,79833,81167,84800,84848,85348,81714,83167,81583,80917,73666,74249,69518,76936,76703,81100,82767,85633,90633,90633,86483,83067,87900,88750,83833,73667,76275,84892,89558,90283,86500,87000,86667,85400,82233,79133,76733,78367,84300,86633,84500,82333,87500,92667,92000,85600,79267,81267,84229,92529,92196,93179,90056,97723,102343,104917,98983,93150,88067,84833,79167,83167,95000,106333,114333,116000,121333,115000,106667,99833,102500,99500,106333,108833,110500,108833,113633,129633,131633,136233,128900,127900,111865,109498,108832,115467,120500,125167,129625,129625,135292,142000,143650,144983,136983,133667,132950,141450,149783,153067,147867,146533,147133
394474,329,"Cleveland, TN",msa,TN,107917,109983,109900,116233,113167,116167,111400,107900,100567,103317,107983,108217,103067,102067,110500,117317,121650,117583,111267,107917,104950,104783,107617,110650,110483,105967,105550,110867,116733,113983,111467,108467,114300,111292,104125,95092,95633,99195,108227,109894,112649,103900,108900,114567,120617,110617,103467,99500,108300,114550,116517,112717,102467,113133,111450,121583,109950,116633,117000,123633,119867,113700,110400,117500,124167,132833,127083,126250,120700,119283,114450,112333,113833,112833,121800,125167,130042,124658,121958,126217,124300,127300,127483,131267,128933,130117,135800,136467,135133,132333,132500,129167,126167,127933,131250,133968,138535,140218,144500,141667,140400,139400,142700,141133,137133,139833,144900,145067,145733,149172,150805,147788,148750,148917,153917,150700,156700,149700,160617,159150,160800,151467,156633,160000,159250,158583,161250,165333,163983,158117,158117,156467,162333,160633,162633,166633,167833,179500,177817,184317,179733,184733,185400,186063,187746,185330,183583,183583,189333,195000,201000,211333,209250,206400,199917,205667,210850,214000,217833,219500,230833,235667,245667,240067,236067,234600,233500,240500,238117,243900,246900,250750,252833,255000,263333
